izolat,pasta,syrop,quinoa,koszt_PLN,bialko_g,tluszcz_g,poprawny
33.2187,25.972,18.6374,22.172,9.223073,39.4939,14.3163,1
30.921,17.3544,27.2121,24.5124,8.63554,35.5993,10.148,1
32.8342,34.6516,24.9519,7.5623,9.028974,39.2724,17.7795,1
23.5116,24.27,28.6832,23.5353,7.699802,30.5228,13.5471,1
29.316,35.569,21.2467,13.8683,8.704938,37.2182,18.6166,1
33.3515,19.866,32.4481,14.3344,8.794825,36.9897,10.793,1
30.0944,25.9288,22.3232,21.6536,8.72175,36.5987,14.2636,1
31.008,22.8092,24.5377,21.6452,8.753909,36.6398,12.7033,1
34.1429,24.687,30.4035,10.7666,8.979195,38.4077,12.9895,1
31.155,34.5182,20.1485,14.1783,8.962506,38.654,18.1098,1
30.0521,26.7774,26.8658,16.3047,8.584425,36.0239,14.367,1
32.95,30.868,20.1105,16.0716,9.169771,39.622,16.3983,1
26.711,34.5975,20.4053,18.2863,8.399699,35.2493,18.3959,1
22.1916,35.3505,34.1184,8.3395,7.42715,29.9776,18.1756,1
31.5067,26.234,31.8144,10.4448,8.615076,36.3768,13.7437,1
15.3032,36.4154,28.1111,20.1704,6.751643,25.7006,19.4179,1
31.5839,25.8023,25.0676,17.5462,8.824969,37.3325,13.9539,1
27.5229,31.2462,34.542,6.6889,8.060338,33.5186,16.0244,1
27.6293,19.2648,29.6034,23.5024,8.161888,32.9729,11.0426,1
27.4318,23.6717,32.0781,16.8183,8.084995,32.9612,12.845,1
