nr,x1_izolat_g,x2_pasta_g,x3_syrop_g,x4_quinoa_g,koszt_PLN,bialko_g,tluszcz_g,spelnia_ograniczenia
1,36.5462,24.5585,26.3211,12.5742,940.1439,40.7916,13.0337,1
2,28.9904,27.3006,21.3476,22.3613,861.9873,36.0471,14.992,1
3,13.7996,33.6569,27.9912,24.5523,655.3496,24.2712,18.3016,0
4,25.4427,17.8713,32.7365,23.9496,778.7595,30.7192,10.3726,1
5,39.5455,21.3694,32.5019,6.5832,957.4971,41.8549,11.0797,1
6,18.0066,35.0514,22.9792,23.9629,723.6701,28.3236,18.9635,1
7,35.3421,29.4536,25.1895,10.0148,930.9344,40.5734,15.3277,1
8,31.6637,24.3079,26.4713,17.5571,878.5361,37.0323,13.2074,1
9,34.8299,30.0355,25.0418,10.0928,925.2665,40.2688,15.6233,1
10,32.5769,23.8508,26.787,16.7852,888.7759,37.6319,12.9325,1
11,31.4073,21.2528,34.3584,12.9816,850.1426,35.3972,11.4053,1
12,36.1314,25.9389,30.5248,7.4049,923.0379,40.0397,13.4137,1
13,32.3237,36.9753,21.5147,9.1864,907.9893,39.6212,19.0388,1
14,19.2892,37.3145,34.2505,9.1459,707.0204,27.9693,19.206,1
15,25.6479,32.2757,18.8622,23.2142,830.1497,34.402,17.5307,1
16,22.2494,36.0662,26.994,14.6904,765.1685,31.0977,18.9145,1
17,25.7418,37.2474,21.8729,15.138,824.7773,34.5988,19.532,1
18,19.028,35.1975,24.6058,21.1686,731.6317,28.8882,18.8689,1
19,23.2115,34.1622,29.8774,12.7489,767.5923,31.2157,17.846,1
20,33.3488,37.4167,21.6949,7.5396,920.4834,40.4236,19.1607,1
21,17.0404,25.3671,34.4957,23.0969,672.2018,24.9117,14.0693,0
22,27.3194,28.7207,27.2436,16.7163,824.1224,34.1079,15.3633,1
23,12.507,34.0656,29.7995,23.6279,633.9715,23.0806,18.4505,0
24,23.0485,23.3478,32.4394,21.1642,752.4623,29.5436,12.9438,1
25,25.132,33.586,22.6835,18.5985,812.8927,33.6191,17.9089,1
26,28.0458,18.0264,34.7739,19.154,805.2637,32.4293,10.1624,1
27,15.2519,36.3595,26.983,21.4055,677.8792,25.8134,19.4641,1
28,28.992,29.9904,23.5113,17.5063,856.861,36.0413,16.0456,1
29,20.7002,36.1692,30.5321,12.5985,735.2413,29.4363,18.8405,1
30,21.9392,28.273,34.1679,15.62,735.8721,29.0003,15.0737,1
31,25.0133,32.2978,29.1524,13.5365,791.3576,32.4815,16.9611,1
32,39.8132,21.2735,31.4824,7.4309,963.8546,42.1906,11.0826,1
33,21.6382,34.6826,30.4705,13.2087,746.4079,29.9943,18.1338,1
34,20.5415,28.5667,26.5155,24.3763,741.5063,29.0417,15.7459,1
35,25.5439,33.4562,24.0207,16.9792,813.9641,33.7306,17.7469,1
36,37.8355,32.0777,19.2202,10.8667,981.3216,43.5927,16.6908,1
37,32.8901,22.4058,25.1388,19.5653,896.9128,37.9417,12.3768,1
38,30.1628,30.1086,20.7659,18.9627,879.7914,37.3284,16.1921,1
39,19.9254,30.3077,30.3249,19.4419,723.247,28.2317,16.3204,1
40,22.4821,24.3095,29.1068,24.1015,755.861,29.6855,13.6008,1
41,25.9464,35.7662,18.444,19.8434,836.881,35.0714,19.0737,1
42,32.1785,32.8366,22.5187,12.4662,901.0929,38.915,17.1663,1
43,30.5393,33.9784,15.9892,19.4932,900.7623,38.709,18.1588,1
44,27.656,30.9846,33.9098,7.4496,809.4633,33.6795,15.9393,1
45,29.665,24.6048,23.0559,22.6743,863.9478,36.0241,13.6628,1
46,21.2169,39.7914,28.5275,10.4642,749.5248,30.5081,20.5235,0
47,23.1745,36.6313,29.8796,10.3146,768.3582,31.4589,18.9345,1
48,28.6516,31.4198,31.4799,8.4487,829.4151,34.8242,16.2168,1
